side,side,eta,phi,sector,TwinMux,TwinMux_link,TwinMux_bit,ring,BLANK
-1,-1,1,1,1,YB0_S1,6,14,0,BLANK
1,1,1,1,1,YB0_S1,7,46,0,BLANK
-1,-1,2,1,1,YB0_S1,6,15,0,BLANK
1,1,2,1,1,YB0_S1,6,13,0,BLANK
-1,-1,3,1,1,YB0_S1,6,10,0,BLANK
1,1,3,1,1,YB0_S1,7,45,0,BLANK
-1,-1,4,1,1,YB0_S1,7,32,0,BLANK
1,1,4,1,1,YB0_S1,7,44,0,BLANK
-1,-1,5,1,1,YB-1_S1,6,15,-1,BLANK
1,1,5,1,1,YB+1_S1,6,15,1,BLANK
-1,-1,6,1,1,YB-1_S1,6,12,-1,BLANK
1,1,6,1,1,YB+1_S1,6,12,1,BLANK
-1,-1,7,1,1,YB-1_S1,6,9,-1,BLANK
1,1,7,1,1,YB+1_S1,6,9,1,BLANK
-1,-1,8,1,1,YB-1_S1,7,44,-1,BLANK
1,1,8,1,1,YB+1_S1,7,44,1,BLANK
-1,-1,9,1,1,YB-1_S1,7,41,-1,BLANK
1,1,9,1,1,YB+1_S1,7,41,1,BLANK
-1,-1,10,1,1,YB-1_S1,7,38,-1,BLANK
1,1,10,1,1,YB+1_S1,7,38,1,BLANK
-1,-1,11,1,1,YB-2_S1,7,41,-2,BLANK
1,1,11,1,1,YB+2_S1,7,41,2,BLANK
-1,-1,12,1,1,YB-2_S1,7,38,-2,BLANK
1,1,12,1,1,YB+2_S1,7,38,2,BLANK
-1,-1,13,1,1,YB-2_S1,7,35,-2,BLANK
1,1,13,1,1,YB+2_S1,7,35,2,BLANK
-1,-1,14,1,1,YB-2_S1,7,32,-2,BLANK
1,1,14,1,1,YB+2_S1,7,32,2,BLANK
-1,-1,15,1,1,YB-2_S1,7,29,-2,BLANK
1,1,15,1,1,YB+2_S1,7,29,2,BLANK
-1,-1,1,2,1,YB0_S1,6,12,0,BLANK
1,1,1,2,1,YB0_S1,7,43,0,BLANK
-1,-1,2,2,1,YB0_S1,6,9,0,BLANK
1,1,2,2,1,YB0_S1,6,11,0,BLANK
-1,-1,3,2,1,YB0_S1,6,8,0,BLANK
1,1,3,2,1,YB0_S1,7,42,0,BLANK
-1,-1,4,2,1,YB0_S1,7,31,0,BLANK
1,1,4,2,1,YB0_S1,7,41,0,BLANK
-1,-1,5,2,1,YB-1_S1,6,8,-1,BLANK
1,1,5,2,1,YB+1_S1,6,8,1,BLANK
-1,-1,6,2,1,YB-1_S1,6,5,-1,BLANK
1,1,6,2,1,YB+1_S1,6,5,1,BLANK
-1,-1,7,2,1,YB-1_S1,6,2,-1,BLANK
1,1,7,2,1,YB+1_S1,6,2,1,BLANK
-1,-1,8,2,1,YB-1_S1,7,37,-1,BLANK
1,1,8,2,1,YB+1_S1,7,37,1,BLANK
-1,-1,9,2,1,YB-1_S1,7,34,-1,BLANK
1,1,9,2,1,YB+1_S1,7,34,1,BLANK
-1,-1,10,2,1,YB-1_S1,7,31,-1,BLANK
1,1,10,2,1,YB+1_S1,7,31,1,BLANK
-1,-1,11,2,1,YB-2_S1,6,14,-2,BLANK
1,1,11,2,1,YB+2_S1,6,14,2,BLANK
-1,-1,12,2,1,YB-2_S1,6,11,-2,BLANK
1,1,12,2,1,YB+2_S1,6,11,2,BLANK
-1,-1,13,2,1,YB-2_S1,6,8,-2,BLANK
1,1,13,2,1,YB+2_S1,6,8,2,BLANK
-1,-1,14,2,1,YB-2_S1,6,5,-2,BLANK
1,1,14,2,1,YB+2_S1,6,5,2,BLANK
-1,-1,15,2,1,YB-2_S1,6,2,-2,BLANK
1,1,15,2,1,YB+2_S1,6,2,2,BLANK
-1,-1,1,3,1,YB0_S1,6,6,0,BLANK
1,1,1,3,1,YB0_S1,7,40,0,BLANK
-1,-1,2,3,1,YB0_S1,6,7,0,BLANK
1,1,2,3,1,YB0_S1,6,5,0,BLANK
-1,-1,3,3,1,YB0_S1,6,2,0,BLANK
1,1,3,3,1,YB0_S1,7,39,0,BLANK
-1,-1,4,3,1,YB0_S1,7,30,0,BLANK
1,1,4,3,1,YB0_S1,7,38,0,BLANK
-1,-1,5,3,1,YB-1_S1,6,7,-1,BLANK
1,1,5,3,1,YB+1_S1,6,7,1,BLANK
-1,-1,6,3,1,YB-1_S1,6,4,-1,BLANK
1,1,6,3,1,YB+1_S1,6,4,1,BLANK
-1,-1,7,3,1,YB-1_S1,6,1,-1,BLANK
1,1,7,3,1,YB+1_S1,6,1,1,BLANK
-1,-1,8,3,1,YB-1_S1,7,36,-1,BLANK
1,1,8,3,1,YB+1_S1,7,36,1,BLANK
-1,-1,9,3,1,YB-1_S1,7,33,-1,BLANK
1,1,9,3,1,YB+1_S1,7,33,1,BLANK
-1,-1,10,3,1,YB-1_S1,7,30,-1,BLANK
1,1,10,3,1,YB+1_S1,7,30,1,BLANK
-1,-1,11,3,1,YB-2_S1,6,13,-2,BLANK
1,1,11,3,1,YB+2_S1,6,13,2,BLANK
-1,-1,12,3,1,YB-2_S1,6,10,-2,BLANK
1,1,12,3,1,YB+2_S1,6,10,2,BLANK
-1,-1,13,3,1,YB-2_S1,6,7,-2,BLANK
1,1,13,3,1,YB+2_S1,6,7,2,BLANK
-1,-1,14,3,1,YB-2_S1,6,4,-2,BLANK
1,1,14,3,1,YB+2_S1,6,4,2,BLANK
-1,-1,15,3,1,YB-2_S1,6,1,-2,BLANK
1,1,15,3,1,YB+2_S1,6,1,2,BLANK
-1,-1,1,4,1,YB0_S1,6,4,0,BLANK
1,1,1,4,1,YB0_S1,7,37,0,BLANK
-1,-1,2,4,1,YB0_S1,6,1,0,BLANK
1,1,2,4,1,YB0_S1,6,3,0,BLANK
-1,-1,3,4,1,YB0_S1,6,0,0,BLANK
1,1,3,4,1,YB0_S1,7,36,0,BLANK
-1,-1,4,4,1,YB0_S1,7,29,0,BLANK
1,1,4,4,1,YB0_S1,7,35,0,BLANK
-1,-1,5,4,1,YB-1_S1,6,6,-1,BLANK
1,1,5,4,1,YB+1_S1,6,6,1,BLANK
-1,-1,6,4,1,YB-1_S1,6,3,-1,BLANK
1,1,6,4,1,YB+1_S1,6,3,1,BLANK
-1,-1,7,4,1,YB-1_S1,6,0,-1,BLANK
1,1,7,4,1,YB+1_S1,6,0,1,BLANK
-1,-1,8,4,1,YB-1_S1,7,35,-1,BLANK
1,1,8,4,1,YB+1_S1,7,35,1,BLANK
-1,-1,9,4,1,YB-1_S1,7,32,-1,BLANK
1,1,9,4,1,YB+1_S1,7,32,1,BLANK
-1,-1,10,4,1,YB-1_S1,7,29,-1,BLANK
1,1,10,4,1,YB+1_S1,7,29,1,BLANK
-1,-1,11,4,1,YB-2_S1,6,12,-2,BLANK
1,1,11,4,1,YB+2_S1,6,12,2,BLANK
-1,-1,12,4,1,YB-2_S1,6,9,-2,BLANK
1,1,12,4,1,YB+2_S1,6,9,2,BLANK
-1,-1,13,4,1,YB-2_S1,6,6,-2,BLANK
1,1,13,4,1,YB+2_S1,6,6,2,BLANK
-1,-1,14,4,1,YB-2_S1,6,3,-2,BLANK
1,1,14,4,1,YB+2_S1,6,3,2,BLANK
-1,-1,15,4,1,YB-2_S1,6,0,-2,BLANK
1,1,15,4,1,YB+2_S1,6,0,2,BLANK
-1,-1,1,5,2,YB0_S2,7,51,0,BLANK
1,1,1,5,2,YB0_S2,6,22,0,BLANK
-1,-1,2,5,2,YB0_S2,6,23,0,BLANK
1,1,2,5,2,YB0_S2,6,17,0,BLANK
-1,-1,3,5,2,YB0_S2,7,52,0,BLANK
1,1,3,5,2,YB0_S2,6,16,0,BLANK
