sides,ring,sector,bigphi,phi,eta,LUT,bit
-1,-2,1,1,0,15,0x000,29
-1,-2,1,1,0,14,0x003,32
-1,-2,1,1,0,13,0x006,35
-1,-2,1,1,0,12,0x01C,38
-1,-2,1,1,0,11,0x070,41
-1,-2,1,-,-,-,-,-1
-1,-2,1,-,-,-,-,-1
-1,-2,1,-,-,-,-,-1
-1,-2,1,2,1,15,0x100,2
-1,-2,1,2,1,14,0x103,5
-1,-2,1,2,1,13,0x106,8
-1,-2,1,2,1,12,0x11C,11
-1,-2,1,2,1,11,0x170,14
-1,-2,1,-,-,-,-,-1
-1,-2,1,-,-,-,-,-1
-1,-2,1,-,-,-,-,-1
-1,-2,1,3,2,15,0x200,1
-1,-2,1,3,2,14,0x203,4
-1,-2,1,3,2,13,0x206,7
-1,-2,1,3,2,12,0x21C,10
-1,-2,1,3,2,11,0x270,13
-1,-2,1,-,-,-,-,-1
-1,-2,1,-,-,-,-,-1
-1,-2,1,-,-,-,-,-1
-1,-2,1,4,3,15,0x300,0
-1,-2,1,4,3,14,0x303,3
-1,-2,1,4,3,13,0x306,6
-1,-2,1,4,3,12,0x31C,9
-1,-2,1,4,3,11,0x370,12
-1,-2,1,-,-,-,-,-1
-1,-2,1,-,-,-,-,-1
-1,-2,1,-,-,-,-,-1
-1,-2,1,71,4,15,0x400,31
-1,-2,1,71,4,14,0x403,34
-1,-2,1,71,4,13,0x406,37
-1,-2,1,71,4,12,0x41C,40
-1,-2,1,71,4,11,0x470,43
-1,-2,1,-,-,-,-,-1
-1,-2,1,-,-,-,-,-1
-1,-2,1,-,-,-,-,-1
-1,-2,1,72,5,15,0x500,30
-1,-2,1,72,5,14,0x503,33
-1,-2,1,72,5,13,0x506,36
-1,-2,1,72,5,12,0x51C,39
-1,-2,1,72,5,11,0x570,42
-1,-2,1,-,-,-,-,-1
-1,-2,1,-,-,-,-,-1
-1,-2,1,-,-,-,-,-1
,,,,,,,,,,,,,
-1,-2,2,5,0,15,0x000,29
-1,-2,2,5,0,14,0x003,32
-1,-2,2,5,0,13,0x006,35
-1,-2,2,5,0,12,0x01C,38
-1,-2,2,5,0,11,0x070,41
-1,-2,2,-,-,-,-,-1
-1,-2,2,-,-,-,-,-1
-1,-2,2,-,-,-,-,-1
-1,-2,2,6,1,15,0x100,30
-1,-2,2,6,1,14,0x103,33
-1,-2,2,6,1,13,0x106,36
-1,-2,2,6,1,12,0x11C,39
-1,-2,2,6,1,11,0x170,42
-1,-2,2,-,-,-,-,-1
-1,-2,2,-,-,-,-,-1
-1,-2,2,-,-,-,-,-1
-1,-2,2,7,2,15,0x200,31
-1,-2,2,7,2,14,0x203,34
-1,-2,2,7,2,13,0x206,37
-1,-2,2,7,2,12,0x21C,40
-1,-2,2,7,2,11,0x270,43
-1,-2,2,-,-,-,-,-1
-1,-2,2,-,-,-,-,-1
